dirty_code,loinc_code(T-luhend)
aB-ABB,aB-ABB panel
aB-ABE,aB-BE
aB-Elektrol??????did,aP-Electrolytes panel
aB-tO2,aB-O2
Albumiin_plasmas,"S,P-Alb"
Albumiin_seerumis,"S,P-Alb"
P-Alb,"S,P-Alb"
B-A3Diff,B-CBC-3Diff
B-Basof??????lid_%,B-Baso%
B-CBC-Diff,"B-CBC-3Diff,B-CBC-5Diff"
B-CBC+Diff,"B-CBC-3Diff,B-CBC-5Diff"
B-Hemo,B-Smear-m panel
B-HGB,B-Hb
B-P-LCR,B-LCR
B1-A3Diff,B-CBC-3Diff
BASO Basofiilide absoluutarv,B-Baso#
BASO% Basofiilide suhtarv,B-Baso%
BASO%_Basofiilide_suhtarv,B-Baso%
C-reaktiivne valk plasmas,"S,P-CRP"
C-reaktiivne valk seerumis/plasmas*,"S,P-CRP"
cB-Gluc-p,fcB-Gluc
e-GFR,eGFR
EO Eosinofiilide absoluutarv,B-Eo#
EO% Eosinofiilide suhtarv,B-Eo%
EO%_Eosinofiilide_suhtarv,B-Eo%
ESR Erutrotsuutide settekiirus,B-ESR
Fer / Ferritiin,"S,P-Fer"
Glukoos,"S,P-Gluc"
Hct,B-Hct
Hct,B-Hct
HCT Hematokritt,B-Hct
HCT Hematokritt,B-Hct
HCT_Hematokritt,B-Hct
HCT(hematokrit),B-Hct
Hematokrit %,B-Hct
Hemoglobiin veres g/l,B-Hb
HGB,B-Hb
HGB,B-Hb
HGB Hemoglobiin,B-Hb
HGB_Hemoglobiin,B-Hb
HGB(hemoglobiin),B-Hb
Hinnanguline glomerulaarfiltratsiooni kiirus (CKD-EPI valemi j.),eGFR (CKD-EPI)
IG - Ebakupsete granulotsuutide arv,B-IG#
IG Ebakupsete granulotsuudide absoluutarv,B-IG#
IG#,B-IG#
IG% Ebakupsete granulotsuudide suhtarv,B-IG%
IG% - Ebaküps.granulotsüütide %,B-IG%
IPF-ebakupsed trombotsuudid,B-IPF
IRF%,B-IRF
Kaalium seerumis/plasmas*,"S,P-K"
Kreatiniin seerumis/plasmas*,"S,P-Crea"
Laktaat_arteriaalses_plasmas,aP-Lac
aB-Lac,aP-Lac
LCR,B-LCR
LYM#,B-Lymph#
LYM%,B-Lymph%
LYMPH (abs.),B-Lymph#
LYMPH Lumfotsuutide absoluutarv,B-Lymph#
LYMPH#,B-Lymph#
lymph#,B-Lymph#
LYMPH%,B-Lymph%
lymph%,B-Lymph%
LYMPH% Lumfotsuutide suhtarv,B-Lymph%
MCH Keskmine hemoglobiini hulk erutrotsuudis,B-MCH
MCH pg,B-MCH
MCHC g/l,B-MCHC
MCHC Keskmine hemoglobiini kontsentratsioon erutrotsuudis,B-MCHC
MCV fl,B-MCV
MONO Monotsuutide absoluutarv,B-Mono#
MONO% Monotsuutide suhtarv,B-Mono%
MPV fl,B-MPV
MPV Trombotsuutide keskmine maht,B-MPV
Naatrium seerumis/plasmas*,"S,P-Na"
NEUT Neutrofiilide absoluutarv,B-Neut#
NEUT% Neutrofiilide suhtarv,B-Neut%
P-ALAT alaniini aminotransferaas,"S,P-ALAT"
P-ALAT Alaniini aminotransferaas,"S,P-ALAT"
ALAT Alaniini aminotransferaas,"S,P-ALAT"
P-Alb albumiin,"S,P-Alb"
P-APTT - Aktiveeritud osalise tromboplastiini aeg,P-APTT
P-ASAT Aspartaadi aminotransferaas,"S,P-ASAT"
ASAT Aspartaadi aminotransferaas,"S,P-ASAT"
ASAT Aspartaadi aminotransferaas plasmas,"S,P-ASAT"
P-Bil Bilirubiin,"S,P-Bil"
P-Chol (kolesterool),"S,P-Chol"
P-Crea Kreatiniin plasmas,"S,P-Crea"
P-CRP C-reaktiivne valk,"S,P-CRP"
P-DDi - D-dimeerid,P-D-Di
P-HDL-Chol,"S,P-HDL-Chol"
P-K kaalium,"S,P-K"
P-K Kaalium,"S,P-K"
P-LDH (laktaadi dehudrogenaas),"S,P-LDH"
P-LDL-Chol,"S,P-LDL-Chol"
P-Na Naatrium,"S,P-Na"
P-Urea Uurea plasmas,"S,P-Urea"
PDW %,B-PDW-CV
PLT Trombotsuudid,B-Plt
PLT Trombotsuudid,B-Plt
PLT_Trombots??????did,B-Plt
RBC Erutrotsuudid,B-Rbc
RBC Erutrotsuudid,B-Rbc
RDW %,B-RDW-CV
RDW%,B-RDW-CV
RET???,B-Ret%
Trombokrit %,B-Pct
U-Nit Nitrit,U-Ni
U-Prot_,U-Prot
U-Sedim,U-Sed-m panel
U-SG(Uriini erikaal),U-SG strip
